[ 2025-08-20 10:51:46,642 ] 17 root - INFO - Initiate the data ingestion
[ 2025-08-20 10:51:48,520 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-20 10:51:48,520 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-20 10:51:48,520 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-20 10:51:48,562 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-20 10:51:48,562 ] 19 root - INFO - Data Initiation Completed
[ 2025-08-20 10:51:48,578 ] 23 root - INFO - Initiate the data Validation
[ 2025-08-20 10:51:48,630 ] 32 root - INFO - Required number of columns:2
[ 2025-08-20 10:51:48,630 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-20 10:51:48,630 ] 32 root - INFO - Required number of columns:2
[ 2025-08-20 10:51:48,630 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-20 10:51:48,766 ] 25 root - INFO - data Validation Completed
[ 2025-08-20 10:51:48,766 ] 28 root - INFO - data Transformation started
[ 2025-08-20 10:51:48,766 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-20 10:51:48,766 ] 65 root - INFO - Starting data transformation
[ 2025-08-20 10:51:48,799 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-20 10:51:48,799 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-20 10:51:48,809 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-20 10:51:48,812 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-20 10:51:48,812 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-20 10:51:48,815 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-20 10:51:48,815 ] 32 root - INFO - data Transformation completed
