[ 2025-08-19 22:31:17,714 ] 17 root - INFO - Initiate the data ingestion
[ 2025-08-19 22:31:19,606 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-19 22:31:19,606 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-19 22:31:19,606 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-19 22:31:19,673 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-19 22:31:19,673 ] 19 root - INFO - Data Initiation Completed
[ 2025-08-19 22:31:19,683 ] 23 root - INFO - Initiate the data Validation
[ 2025-08-19 22:31:19,747 ] 32 root - INFO - Required number of columns:2
[ 2025-08-19 22:31:19,747 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-19 22:31:19,747 ] 32 root - INFO - Required number of columns:2
[ 2025-08-19 22:31:19,747 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-19 22:31:19,897 ] 25 root - INFO - data Validation Completed
