[ 2025-08-20 10:02:29,311 ] 18 root - INFO - Initiate the data ingestion
[ 2025-08-20 10:02:31,109 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-20 10:02:31,109 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-20 10:02:31,111 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-20 10:02:31,202 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-20 10:02:31,204 ] 20 root - INFO - Data Initiation Completed
[ 2025-08-20 10:02:31,226 ] 24 root - INFO - Initiate the data Validation
[ 2025-08-20 10:02:31,283 ] 32 root - INFO - Required number of columns:2
[ 2025-08-20 10:02:31,283 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-20 10:02:31,285 ] 32 root - INFO - Required number of columns:2
[ 2025-08-20 10:02:31,285 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-20 10:02:31,414 ] 26 root - INFO - data Validation Completed
[ 2025-08-20 10:02:31,414 ] 29 root - INFO - data Transformation started
[ 2025-08-20 10:02:31,414 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-20 10:02:31,414 ] 65 root - INFO - Starting data transformation
[ 2025-08-20 10:02:31,431 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-20 10:02:31,431 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-20 10:02:31,466 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-20 10:02:31,471 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-20 10:02:31,471 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-20 10:02:31,476 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-20 10:02:31,476 ] 33 root - INFO - data Transformation completed
